taxonomy,primary,displayName,level,isBasic,basicCategory
community_and_government > social_or_community_service,social_or_community_service,Social or Community Service,1,true,social_or_community_service
community_and_government > social_or_community_service > child_protection_service,child_protection_service,Child Protection Service,2,false,social_or_community_service
community_and_government > social_or_community_service > community_center,community_center,Community Center,2,true,community_center
community_and_government > social_or_community_service > disability_services_and_support_organization,disability_services_and_support_organization,Disability Services and Support Organization,2,false,social_or_community_service
community_and_government > social_or_community_service > food_bank,food_bank,Food Bank,2,true,food_bank
community_and_government > social_or_community_service > foster_care_service,foster_care_service,Foster Care Service,2,false,social_or_community_service
community_and_government > social_or_community_service > gay_and_lesbian_services_organization,gay_and_lesbian_services_organization,Gay and Lesbian Services Organization,2,false,social_or_community_service
community_and_government > social_or_community_service > homeless_shelter,homeless_shelter,Homeless Shelter,2,false,social_or_community_service
community_and_government > social_or_community_service > housing_authority,housing_authority,Housing Authority,2,false,social_or_community_service
community_and_government > social_or_community_service > scout_hall,scout_hall,Scout Hall,2,false,social_or_community_service
community_and_government > social_or_community_service > senior_citizen_service,senior_citizen_service,Senior Citizen Service,2,false,social_or_community_service
community_and_government > social_or_community_service > social_and_human_service,social_and_human_service,Social and Human Service,2,false,social_or_community_service
community_and_government > social_or_community_service > social_welfare_center,social_welfare_center,Social Welfare Center,2,false,social_or_community_service
community_and_government > social_or_community_service > volunteer_association,volunteer_association,Volunteer Association,2,false,social_or_community_service
community_and_government > social_or_community_service > youth_organization,youth_organization,Youth Organization,2,true,youth_organization
cultural_and_historic,cultural_and_historic,Cultural and Historic,0,true,cultural_and_historic
cultural_and_historic > cultural_center,cultural_center,Cultural Center,1,true,cultural_center
cultural_and_historic > historic_site,historic_site,Historic Site,1,true,historic_site
cultural_and_historic > historic_site > castle,castle,Castle,2,true,castle
cultural_and_historic > historic_site > fort,fort,Fort,2,true,fort
cultural_and_historic > historic_site > historic_mission,historic_mission,Historic Mission,2,false,historic_site
cultural_and_historic > historic_site > historic_tower,historic_tower,Historic Tower,2,false,historic_site
cultural_and_historic > historic_site > lighthouse,lighthouse,Lighthouse,2,true,lighthouse
cultural_and_historic > historic_site > palace,palace,Palace,2,false,historic_site
cultural_and_historic > historic_site > ruin,ruin,Ruin,2,false,historic_site
cultural_and_historic > memorial_site,memorial_site,Memorial Site,1,true,memorial_site
cultural_and_historic > memorial_site > cemetery,cemetery,Cemetery,2,true,cemetery
cultural_and_historic > memorial_site > memorial_park,memorial_park,Memorial Park,2,false,memorial_site
cultural_and_historic > memorial_site > monument,monument,Monument,2,true,monument
cultural_and_historic > place_of_worship,place_of_worship,Place of Worship,1,true,place_of_worship
cultural_and_historic > place_of_worship > buddhist_place_of_worship,buddhist_place_of_worship,Buddhist Place of Worship,2,true,buddhist_place_of_worship
cultural_and_historic > place_of_worship > buddhist_place_of_worship > mahayana_buddhist_place_of_worship,mahayana_buddhist_place_of_worship,Mahayana Buddhist Place of Worship,3,false,buddhist_place_of_worship
cultural_and_historic > place_of_worship > buddhist_place_of_worship > mahayana_buddhist_place_of_worship > nichiren_buddhist_place_of_worship,nichiren_buddhist_place_of_worship,Nichiren Buddhist Place of Worship,4,false,buddhist_place_of_worship
cultural_and_historic > place_of_worship > buddhist_place_of_worship > mahayana_buddhist_place_of_worship > pure_land_buddhist_place_of_worship,pure_land_buddhist_place_of_worship,Pure Land Buddhist Place of Worship,4,false,buddhist_place_of_worship
cultural_and_historic > place_of_worship > buddhist_place_of_worship > mahayana_buddhist_place_of_worship > zen_buddhist_place_of_worship,zen_buddhist_place_of_worship,Zen Buddhist Place of Worship,4,false,buddhist_place_of_worship
cultural_and_historic > place_of_worship > buddhist_place_of_worship > theravada_buddhist_place_of_worship,theravada_buddhist_place_of_worship,Theravada Buddhist Place of Worship,3,false,buddhist_place_of_worship
cultural_and_historic > place_of_worship > buddhist_place_of_worship > vajrayana_buddhist_place_of_worship,vajrayana_buddhist_place_of_worship,Vajrayana Buddhist Place of Worship,3,false,buddhist_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship,christian_place_of_worship,Christian Place of Worship,2,true,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > church_of_the_east_place_of_worship,church_of_the_east_place_of_worship,Church of the East Place of Worship,3,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > eastern_orthodox_place_of_worship,eastern_orthodox_place_of_worship,Eastern Orthodox Place of Worship,3,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > eastern_orthodox_place_of_worship > antiochan_orthodox_place_of_worship,antiochan_orthodox_place_of_worship,Antiochan Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > eastern_orthodox_place_of_worship > bulgarian_orthodox_place_of_worship,bulgarian_orthodox_place_of_worship,Bulgarian Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > eastern_orthodox_place_of_worship > georgian_orthodox_place_of_worship,georgian_orthodox_place_of_worship,Georgian Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > eastern_orthodox_place_of_worship > greek_orthodox_place_of_worship,greek_orthodox_place_of_worship,Greek Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > eastern_orthodox_place_of_worship > romanian_orthodox_place_of_worship,romanian_orthodox_place_of_worship,Romanian Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > eastern_orthodox_place_of_worship > russian_orthodox_place_of_worship,russian_orthodox_place_of_worship,Russian Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > eastern_orthodox_place_of_worship > serbian_orthodox_place_of_worship,serbian_orthodox_place_of_worship,Serbian Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > oriental_orthodox_place_of_worship,oriental_orthodox_place_of_worship,Oriental Orthodox Place of Worship,3,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > oriental_orthodox_place_of_worship > armenian_apostolic_place_of_worship,armenian_apostolic_place_of_worship,Armenian Apostolic Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > oriental_orthodox_place_of_worship > coptic_orthodox_place_of_worship,coptic_orthodox_place_of_worship,Coptic Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > oriental_orthodox_place_of_worship > eritrean_orthodox_tewahedo_place_of_worship,eritrean_orthodox_tewahedo_place_of_worship,Eritrean Orthodox Tewahedo Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > oriental_orthodox_place_of_worship > ethiopian_orthodox_tewahedo_place_of_worship,ethiopian_orthodox_tewahedo_place_of_worship,Ethiopian Orthodox Tewahedo Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > oriental_orthodox_place_of_worship > malankara_orthodox_syrian_place_of_worship,malankara_orthodox_syrian_place_of_worship,Malankara Orthodox Syrian Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > oriental_orthodox_place_of_worship > syriac_orthodox_place_of_worship,syriac_orthodox_place_of_worship,Syriac Orthodox Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship,protestant_place_of_worship,Protestant Place of Worship,3,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > adventist_place_of_worship,adventist_place_of_worship,Adventist Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > anabaptist_place_of_worship,anabaptist_place_of_worship,Anabaptist Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > anglican_or_episcopal_place_of_worship,anglican_or_episcopal_place_of_worship,Anglican or Episcopal Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > baptist_place_of_worship,baptist_place_of_worship,Baptist Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > lutheran_place_of_worship,lutheran_place_of_worship,Lutheran Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > methodist_place_of_worship,methodist_place_of_worship,Methodist Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > pentecostal_place_of_worship,pentecostal_place_of_worship,Pentecostal Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > reformed_or_calvinist_place_of_worship,reformed_or_calvinist_place_of_worship,Reformed or Calvinist Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > restorationist_place_of_worship,restorationist_place_of_worship,Restorationist Place of Worship,3,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > restorationist_place_of_worship > jehovahs_witness_place_of_worship,jehovahs_witness_place_of_worship,Jehovahs Witness Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > restorationist_place_of_worship > mormon_place_of_worship,mormon_place_of_worship,Mormon Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > roman_catholic_place_of_worship,roman_catholic_place_of_worship,Roman Catholic Place of Worship,3,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > roman_catholic_place_of_worship > eastern_catholic_place_of_worship,eastern_catholic_place_of_worship,Eastern Catholic Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > christian_place_of_worship > roman_catholic_place_of_worship > western_catholic_place_of_worship,western_catholic_place_of_worship,Western Catholic Place of Worship,4,false,christian_place_of_worship
cultural_and_historic > place_of_worship > hindu_place_of_worship,hindu_place_of_worship,Hindu Place of Worship,2,true,hindu_place_of_worship
cultural_and_historic > place_of_worship > hindu_place_of_worship > shaiva_hindu_place_of_worship,shaiva_hindu_place_of_worship,Shaiva Hindu Place of Worship,3,false,hindu_place_of_worship
cultural_and_historic > place_of_worship > hindu_place_of_worship > shakta_hindu_place_of_worship,shakta_hindu_place_of_worship,Shakta Hindu Place of Worship,3,false,hindu_place_of_worship
cultural_and_historic > place_of_worship > hindu_place_of_worship > smarta_hindu_place_of_worship,smarta_hindu_place_of_worship,Smarta Hindu Place of Worship,3,false,hindu_place_of_worship
cultural_and_historic > place_of_worship > hindu_place_of_worship > vaishnava_hindu_place_of_worship,vaishnava_hindu_place_of_worship,Vaishnava Hindu Place of Worship,3,false,hindu_place_of_worship
cultural_and_historic > place_of_worship > jewish_place_of_worship,jewish_place_of_worship,Jewish Place of Worship,2,true,jewish_place_of_worship
cultural_and_historic > place_of_worship > jewish_place_of_worship > conservative_jewish_place_of_worship,conservative_jewish_place_of_worship,Conservative Jewish Place of Worship,3,false,jewish_place_of_worship
cultural_and_historic > place_of_worship > jewish_place_of_worship > orthodox_jewish_place_of_worship,orthodox_jewish_place_of_worship,Orthodox Jewish Place of Worship,3,false,jewish_place_of_worship
cultural_and_historic > place_of_worship > jewish_place_of_worship > reconstructionist_jewish_place_of_worship,reconstructionist_jewish_place_of_worship,Reconstructionist Jewish Place of Worship,3,false,jewish_place_of_worship
cultural_and_historic > place_of_worship > jewish_place_of_worship > reform_jewish_place_of_worship,reform_jewish_place_of_worship,Reform Jewish Place of Worship,3,false,jewish_place_of_worship
cultural_and_historic > place_of_worship > muslim_place_of_worship,muslim_place_of_worship,Muslim Place of Worship,2,true,muslim_place_of_worship
cultural_and_historic > place_of_worship > muslim_place_of_worship > ibadi_muslim_place_of_worship,ibadi_muslim_place_of_worship,Ibadi Muslim Place of Worship,3,false,muslim_place_of_worship
cultural_and_historic > place_of_worship > muslim_place_of_worship > shia_muslim_place_of_worship,shia_muslim_place_of_worship,Shia Muslim Place of Worship,3,false,muslim_place_of_worship
cultural_and_historic > place_of_worship > muslim_place_of_worship > sunni_muslim_place_of_worship,sunni_muslim_place_of_worship,Sunni Muslim Place of Worship,3,false,muslim_place_of_worship
cultural_and_historic > place_of_worship > sikh_place_of_worship,sikh_place_of_worship,Sikh Place of Worship,2,false,place_of_worship
cultural_and_historic > religious_landmark,religious_landmark,Religious Landmark,1,true,religious_landmark
cultural_and_historic > religious_landmark > pilgrimage_site,pilgrimage_site,Pilgrimage Site,2,false,religious_landmark
