legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
school_sports_league,school_sport_league,sports_and_recreation > sport_league > school_sport_league,School Sport League
school_sports_team,school_sport_team,sports_and_recreation > sport_team > school_sport_team,School Sport Team
science_museum,science_museum,arts_and_entertainment > museum > science_museum,Science Museum
science_schools,science_school,education > place_of_learning > college_university > science_school,Science School
scientific_laboratories,b2b_scientific_lab,services_and_business > b2b_service > b2b_science_and_technology_service > b2b_scientific_lab,B2B Scientific Lab
scooter_dealers,scooter_dealer,shopping > vehicle_dealer > scooter_dealer,Scooter Dealer
scooter_rental,scooter_rental,sports_and_recreation > recreational_equipment_rental > scooter_rental,Scooter Rental
scooter_tours,scooter_tour,travel_and_transportation > travel_service > tour_operator > scooter_tour,Scooter Tour
scottish_restaurant,scottish_restaurant,food_and_drink > restaurant > european_restaurant > western_european_restaurant > scottish_restaurant,Scottish Restaurant
scout_hall,scout_hall,community_and_government > social_or_community_service > scout_hall,Scout Hall
scrap_metals,b2b_industrial_and_machine_service,services_and_business > b2b_service > b2b_industrial_and_machine_service,B2B Industrial and Machine Service
screen_printing_t_shirt_printing,t_shirt_printing_service,services_and_business > printing_service > screen_printing_service > t_shirt_printing_service,T-shirt Printing Service
scuba_diving_center,scuba_diving_center,sports_and_recreation > sport_or_fitness_facility > diving_center > scuba_diving_center,Scuba Diving Center
scuba_diving_instruction,scuba_diving_instruction,sports_and_recreation > sport_or_fitness_facility > diving_instruction > scuba_diving_instruction,Scuba Diving Instruction
sculpture_statue,sculpture_statue,arts_and_entertainment > arts_and_crafts_space > sculpture_statue,Sculpture Statue
seafood_market,seafood_market,shopping > food_and_beverage_store > seafood_market,Seafood Market
seafood_restaurant,seafood_restaurant,food_and_drink > restaurant > seafood_restaurant,Seafood Restaurant
seafood_wholesaler,seafood_wholesaler,services_and_business > b2b_service > wholesaler > seafood_wholesaler,Seafood Wholesaler
seal_and_hanko_dealers,seal_and_hanko_supplier,services_and_business > b2b_service > supplier_or_distributor > seal_and_hanko_supplier,Seal and Hanko Supplier
seaplane_bases,seaplane_base,travel_and_transportation > air_transport_facility_or_service > airport > seaplane_base,Seaplane Base
secretarial_services,b2b_secretarial_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_business_management_service > b2b_secretarial_service,B2B Secretarial Service
security_services,security_service,services_and_business > security_service,Security Service
security_systems,security_systems,services_and_business > home_service > security_systems,Security Systems
self_catering_accommodation,self_catering_accommodation,lodging > self_catering_accommodation,Self Catering Accommodation
self_defense_classes,self_defense_class,sports_and_recreation > sport_or_fitness_facility > self_defense_class,Self Defense Class
self_storage_facility,self_storage_facility,services_and_business > storage_facility > self_storage_facility,Self Storage Facility
senegalese_restaurant,senegalese_restaurant,food_and_drink > restaurant > african_restaurant > west_african_restaurant > senegalese_restaurant,Senegalese Restaurant
senior_citizen_services,senior_citizen_service,community_and_government > social_or_community_service > senior_citizen_service,Senior Citizen Service
